recommended_titles,# movies,error,movies
"['And Your Mother Too (Y tu mamá también) (2001)', 'Everyone Says I Love You (1996)', ""No Man's Land (2001)"", 'Secrets & Lies (1996)', 'Very Brady Sequel, A (1996)', 'Jane Eyre (1996)', ""Antonia's Line (Antonia) (1995)"", 'Angels and Insects (1995)', 'Anne Frank Remembered (1995)', 'Freeway (1996)', 'Pompatus of Love, The (1996)']",232,0.3449154236576014,"['And Your Mother Too (Y tu mamá también) (2001)', 'Everyone Says I Love You (1996)', ""No Man's Land (2001)"", 'Secrets & Lies (1996)', 'Very Brady Sequel, A (1996)', 'Jane Eyre (1996)', ""Antonia's Line (Antonia) (1995)"", 'Angels and Insects (1995)', 'Anne Frank Remembered (1995)', 'Freeway (1996)', 'Pompatus of Love, The (1996)']"
"['Outlaw Josey Wales, The (1976)', 'Smoke (1995)', 'Wild Bunch, The (1969)', 'Cry-Baby (1990)', 'Planet Earth II (2016)', 'Tree of Life, The (2011)', ""Dead Man's Shoes (2004)"", 'Lions For Lambs (2007)', 'Victory (a.k.a. Escape to Victory) (1981)', 'Better Tomorrow II, A (Ying hung boon sik II) (1987)', 'Jetée, La (1962)', 'A Detective Story (2003)', 'Tickling Giants (2017)', 'Larry David: Curb Your Enthusiasm (1999)', 'Saving Face (2004)']",29,0.3497115384615385,"['Outlaw Josey Wales, The (1976)', 'Smoke (1995)', 'Wild Bunch, The (1969)', 'Cry-Baby (1990)', 'Planet Earth II (2016)', 'Tree of Life, The (2011)', ""Dead Man's Shoes (2004)"", 'Lions For Lambs (2007)', 'Victory (a.k.a. Escape to Victory) (1981)', 'Better Tomorrow II, A (Ying hung boon sik II) (1987)', 'Jetée, La (1962)', 'A Detective Story (2003)', 'Tickling Giants (2017)', 'Larry David: Curb Your Enthusiasm (1999)', 'Saving Face (2004)']"
"['Annie Hall (1977)', 'Blade (1998)', ""Ocean's Thirteen (2007)"", 'Looper (2012)', 'Battle Royale (Batoru rowaiaru) (2000)', 'Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)', 'Secret Window (2004)', 'Barcelona (1994)', 'Bananas (1971)', 'Red Eye (2005)', 'Pieces of April (2003)', 'Wages of Fear, The (Salaire de la peur, Le) (1953)', ""Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)"", 'Boiling Point (1993)']",39,1.0964583333333333,"['Annie Hall (1977)', 'Blade (1998)', ""Ocean's Thirteen (2007)"", 'Looper (2012)', 'Battle Royale (Batoru rowaiaru) (2000)', 'Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)', 'Secret Window (2004)', 'Barcelona (1994)', 'Bananas (1971)', 'Red Eye (2005)', 'Pieces of April (2003)', 'Wages of Fear, The (Salaire de la peur, Le) (1953)', ""Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)"", 'Boiling Point (1993)']"
"['Little Miss Sunshine (2006)', 'Annie (1982)', 'Muppets From Space (1999)', 'Guys and Dolls (1955)', 'Scarlet Letter, The (1995)', 'Burnt by the Sun (Utomlyonnye solntsem) (1994)', 'No Direction Home: Bob Dylan (2005)', ""'Til There Was You (1997)"", 'Lassie (1994)', ""'Salem's Lot (2004)""]",216,0.3186141002985922,"['Little Miss Sunshine (2006)', 'Annie (1982)', 'Muppets From Space (1999)', 'Guys and Dolls (1955)', 'Scarlet Letter, The (1995)', 'Burnt by the Sun (Utomlyonnye solntsem) (1994)', 'No Direction Home: Bob Dylan (2005)', ""'Til There Was You (1997)"", 'Lassie (1994)', ""'Salem's Lot (2004)""]"
"[""Rosemary's Baby (1968)"", 'Evil Dead, The (1981)', 'Network (1976)', 'Dancer in the Dark (2000)', 'His Girl Friday (1940)', 'Murder in the First (1995)', 'You Can Count on Me (2000)', 'Lion in Winter, The (1968)', 'In the Company of Men (1997)', 'Yi Yi (2000)', 'Face in the Crowd, A (1957)', 'Promise, The (La promesse) (1996)', 'The Man in the Moon (1991)', ""When the Cat's Away (Chacun cherche son chat) (1996)"", 'Hollywood Shuffle (1987)']",44,0.4323355372538382,"[""Rosemary's Baby (1968)"", 'Evil Dead, The (1981)', 'Network (1976)', 'Dancer in the Dark (2000)', 'His Girl Friday (1940)', 'Murder in the First (1995)', 'You Can Count on Me (2000)', 'Lion in Winter, The (1968)', 'In the Company of Men (1997)', 'Yi Yi (2000)', 'Face in the Crowd, A (1957)', 'Promise, The (La promesse) (1996)', 'The Man in the Moon (1991)', ""When the Cat's Away (Chacun cherche son chat) (1996)"", 'Hollywood Shuffle (1987)']"
"['Little Mermaid, The (1989)', 'Sting, The (1973)', ""It's a Wonderful Life (1946)"", 'Raising Arizona (1987)', 'True Grit (2010)', 'Private Parts (1997)', 'Michael (1996)', 'In the Mood For Love (Fa yeung nin wa) (2000)', 'Purple Rose of Cairo, The (1985)', 'Ponyo (Gake no ue no Ponyo) (2008)', 'Other Sister, The (1999)', 'Memories of Murder (Salinui chueok) (2003)', 'Voices from the List (2004)', 'Benji the Hunted (1987)', 'With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)']",314,0.2631914715726574,"['Little Mermaid, The (1989)', 'Sting, The (1973)', ""It's a Wonderful Life (1946)"", 'Raising Arizona (1987)', 'True Grit (2010)', 'Private Parts (1997)', 'Michael (1996)', 'In the Mood For Love (Fa yeung nin wa) (2000)', 'Purple Rose of Cairo, The (1985)', 'Ponyo (Gake no ue no Ponyo) (2008)', 'Other Sister, The (1999)', 'Memories of Murder (Salinui chueok) (2003)', 'Voices from the List (2004)', 'Benji the Hunted (1987)', 'With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)']"
"['Citizen Kane (1941)', '12 Angry Men (1957)', 'Sixteen Candles (1984)', 'Producers, The (1968)', 'Harold and Maude (1971)', 'Before Sunrise (1995)', 'Triplets of Belleville, The (Les triplettes de Belleville) (2003)', 'Intolerable Cruelty (2003)', 'Shallow Grave (1994)', 'Renaissance Man (1994)', 'Six Degrees of Separation (1993)', 'Key Largo (1948)', 'Man Who Knew Too Much, The (1956)', 'Teen Wolf (1985)', 'Hudson Hawk (1991)']",152,0.13348211376437188,"['Citizen Kane (1941)', '12 Angry Men (1957)', 'Sixteen Candles (1984)', 'Producers, The (1968)', 'Harold and Maude (1971)', 'Before Sunrise (1995)', 'Triplets of Belleville, The (Les triplettes de Belleville) (2003)', 'Intolerable Cruelty (2003)', 'Shallow Grave (1994)', 'Renaissance Man (1994)', 'Six Degrees of Separation (1993)', 'Key Largo (1948)', 'Man Who Knew Too Much, The (1956)', 'Teen Wolf (1985)', 'Hudson Hawk (1991)']"
"['Iron Giant, The (1999)', ""Monty Python's And Now for Something Completely Different (1971)"", 'Wallace & Gromit: The Best of Aardman Animation (1996)', 'Her (2013)', 'Duck Soup (1933)', 'Red Violin, The (Violon rouge, Le) (1998)', 'Assassination of Jesse James by the Coward Robert Ford, The (2007)', 'Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)', 'Anne of Green Gables (1985)', ""Gulliver's Travels (1939)"", 'Lesson Faust (1994)', 'Colonel Chabert, Le (1994)', 'Mystery of the Third Planet, The (Tayna tretey planety) (1981)', 'Mephisto (1981)', 'Decalogue, The (Dekalog) (1989)']",47,0.40383450101097174,"['Iron Giant, The (1999)', ""Monty Python's And Now for Something Completely Different (1971)"", 'Wallace & Gromit: The Best of Aardman Animation (1996)', 'Her (2013)', 'Duck Soup (1933)', 'Red Violin, The (Violon rouge, Le) (1998)', 'Assassination of Jesse James by the Coward Robert Ford, The (2007)', 'Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)', 'Anne of Green Gables (1985)', ""Gulliver's Travels (1939)"", 'Lesson Faust (1994)', 'Colonel Chabert, Le (1994)', 'Mystery of the Third Planet, The (Tayna tretey planety) (1981)', 'Mephisto (1981)', 'Decalogue, The (Dekalog) (1989)']"
"['Fall, The (2006)', 'Doubt (2008)', 'Henry: Portrait of a Serial Killer (1986)', 'Fresh (1994)', 'Encounters at the End of the World (2008)', 'Troll 2 (1990)', 'Bittersweet Life, A (Dalkomhan insaeng) (2005)', ""Dead Man's Shoes (2004)"", ""Project A ('A' gai waak) (1983)"", 'Enter the Void (2009)', ""Project A 2 ('A' gai wak juk jap) (1987)"", 'Police Story (Ging chaat goo si) (1985)', 'Love Exposure (Ai No Mukidashi) (2008)', 'Mother (Madeo) (2009)', 'Peaceful Warrior (2006)']",46,0.2851208513708514,"['Fall, The (2006)', 'Doubt (2008)', 'Henry: Portrait of a Serial Killer (1986)', 'Fresh (1994)', 'Encounters at the End of the World (2008)', 'Troll 2 (1990)', 'Bittersweet Life, A (Dalkomhan insaeng) (2005)', ""Dead Man's Shoes (2004)"", ""Project A ('A' gai waak) (1983)"", 'Enter the Void (2009)', ""Project A 2 ('A' gai wak juk jap) (1987)"", 'Police Story (Ging chaat goo si) (1985)', 'Love Exposure (Ai No Mukidashi) (2008)', 'Mother (Madeo) (2009)', 'Peaceful Warrior (2006)']"
"['Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)', 'Little Big Man (1970)', 'High Noon (1952)', 'His Girl Friday (1940)', 'Ponyo (Gake no ue no Ponyo) (2008)', 'Herbie Rides Again (1974)', 'Five Easy Pieces (1970)', 'Grand Illusion (La grande illusion) (1937)', 'Vacation (2015)', 'Gigi (1958)', 'Laura (1944)', 'Woman in the Dunes (Suna no onna) (1964)', 'Lincoln (2012)', 'Stunt Man, The (1980)', 'Peaceful Warrior (2006)']",140,0.14330281860218838,"['Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)', 'Little Big Man (1970)', 'High Noon (1952)', 'His Girl Friday (1940)', 'Ponyo (Gake no ue no Ponyo) (2008)', 'Herbie Rides Again (1974)', 'Five Easy Pieces (1970)', 'Grand Illusion (La grande illusion) (1937)', 'Vacation (2015)', 'Gigi (1958)', 'Laura (1944)', 'Woman in the Dunes (Suna no onna) (1964)', 'Lincoln (2012)', 'Stunt Man, The (1980)', 'Peaceful Warrior (2006)']"
