recommended_titles,# movies,error,movies
"['Sherlock Holmes: A Game of Shadows (2011)', 'Super Mario Bros. (1993)', 'Osmosis Jones (2001)', 'Hunting Party, The (2007)', ""Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)"", 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Maximum Ride (2016)', 'Dragonheart 2: A New Beginning (2000)', 'Chase, The (1994)', 'Aelita: The Queen of Mars (Aelita) (1924)', ""Cirque du Freak: The Vampire's Assistant (2009)"", 'Aqua Teen Hunger Force Colon Movie Film for Theaters (2007)']",232,0.2975668148196309,"['Sherlock Holmes: A Game of Shadows (2011)', 'Super Mario Bros. (1993)', 'Osmosis Jones (2001)', 'Hunting Party, The (2007)', ""Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)"", 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Maximum Ride (2016)', 'Dragonheart 2: A New Beginning (2000)', 'Chase, The (1994)', 'Aelita: The Queen of Mars (Aelita) (1924)', ""Cirque du Freak: The Vampire's Assistant (2009)"", 'Aqua Teen Hunger Force Colon Movie Film for Theaters (2007)']"
"['Blood Diamond (2006)', 'Bad Boys (1995)', 'Strange Days (1995)', 'Money Train (1995)', 'Fast Five (Fast and the Furious 5, The) (2011)', 'Last Boy Scout, The (1991)', 'Osmosis Jones (2001)', 'Metro (1997)', 'Getaway, The (1994)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Another 48 Hrs. (1990)', 'Wasabi (2001)', 'Rubber (2010)', 'Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie) (1989)']",29,0.36887820512820496,"['Blood Diamond (2006)', 'Bad Boys (1995)', 'Strange Days (1995)', 'Money Train (1995)', 'Fast Five (Fast and the Furious 5, The) (2011)', 'Last Boy Scout, The (1991)', 'Osmosis Jones (2001)', 'Metro (1997)', 'Getaway, The (1994)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Another 48 Hrs. (1990)', 'Wasabi (2001)', 'Rubber (2010)', 'Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie) (1989)']"
"['Children of Men (2006)', 'The Hunger Games (2012)', 'Day After Tomorrow, The (2004)', 'Jurassic World (2015)', 'Jumper (2008)', 'Host, The (Gwoemul) (2006)', 'Crazies, The (2010)', 'Invasion, The (2007)', 'Pulse (2006)', 'Rubber (2010)', 'Jurassic World: Fallen Kingdom (2018)', 'Sound of Thunder, A (2005)', 'Langoliers, The (1995)', 'Crazies, The (a.k.a. Code Name: Trixie) (1973)', 'Aelita: The Queen of Mars (Aelita) (1924)']",39,1.5208333333333333,"['Children of Men (2006)', 'The Hunger Games (2012)', 'Day After Tomorrow, The (2004)', 'Jurassic World (2015)', 'Jumper (2008)', 'Host, The (Gwoemul) (2006)', 'Crazies, The (2010)', 'Invasion, The (2007)', 'Pulse (2006)', 'Rubber (2010)', 'Jurassic World: Fallen Kingdom (2018)', 'Sound of Thunder, A (2005)', 'Langoliers, The (1995)', 'Crazies, The (a.k.a. Code Name: Trixie) (1973)', 'Aelita: The Queen of Mars (Aelita) (1924)']"
"['Ghost (1990)', 'Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Beat the Devil (1953)', 'Confessions of a Dangerous Mind (2002)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Seven-Per-Cent Solution, The (1976)', 'Song of the Thin Man (1947)', 'Another Thin Man (1939)']",216,0.3230326363080374,"['Ghost (1990)', 'Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Beat the Devil (1953)', 'Confessions of a Dangerous Mind (2002)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Seven-Per-Cent Solution, The (1976)', 'Song of the Thin Man (1947)', 'Another Thin Man (1939)']"
"['Mulan (1998)', 'Inside Out (2015)', 'Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Beat the Devil (1953)', 'Confessions of a Dangerous Mind (2002)', 'Dragonheart 2: A New Beginning (2000)', 'Ernest & Célestine (Ernest et Célestine) (2012)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Seven-Per-Cent Solution, The (1976)', 'Aelita: The Queen of Mars (Aelita) (1924)']",44,0.6778910928093936,"['Mulan (1998)', 'Inside Out (2015)', 'Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Beat the Devil (1953)', 'Confessions of a Dangerous Mind (2002)', 'Dragonheart 2: A New Beginning (2000)', 'Ernest & Célestine (Ernest et Célestine) (2012)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Seven-Per-Cent Solution, The (1976)', 'Aelita: The Queen of Mars (Aelita) (1924)']"
"['Mulan (1998)', 'Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Hunting Party, The (2007)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Confessions of a Dangerous Mind (2002)', 'Dragonheart 2: A New Beginning (2000)', 'Ernest & Célestine (Ernest et Célestine) (2012)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Aelita: The Queen of Mars (Aelita) (1924)']",314,0.29783896693443845,"['Mulan (1998)', 'Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Hunting Party, The (2007)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Confessions of a Dangerous Mind (2002)', 'Dragonheart 2: A New Beginning (2000)', 'Ernest & Célestine (Ernest et Célestine) (2012)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Aelita: The Queen of Mars (Aelita) (1924)']"
"['Children of Men (2006)', 'Day After Tomorrow, The (2004)', 'Jurassic World (2015)', 'Jumper (2008)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Hunting Party, The (2007)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Sound of Thunder, A (2005)', 'Maximum Ride (2016)', 'Dragonheart 2: A New Beginning (2000)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Aelita: The Queen of Mars (Aelita) (1924)']",152,0.2177465589965591,"['Children of Men (2006)', 'Day After Tomorrow, The (2004)', 'Jurassic World (2015)', 'Jumper (2008)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Hunting Party, The (2007)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Sound of Thunder, A (2005)', 'Maximum Ride (2016)', 'Dragonheart 2: A New Beginning (2000)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Aelita: The Queen of Mars (Aelita) (1924)']"
"['Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Hunting Party, The (2007)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Confessions of a Dangerous Mind (2002)', 'Dragonheart 2: A New Beginning (2000)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Chase, The (1994)', 'Seven-Per-Cent Solution, The (1976)']",47,0.3343729625494333,"['Out of Sight (1998)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Hunting Party, The (2007)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Confessions of a Dangerous Mind (2002)', 'Dragonheart 2: A New Beginning (2000)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Chase, The (1994)', 'Seven-Per-Cent Solution, The (1976)']"
"['Osmosis Jones (2001)', 'Host, The (Gwoemul) (2006)', 'Getaway, The (1994)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Hunting Party, The (2007)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Dragonheart 2: A New Beginning (2000)', 'Dead or Alive: Final (2002)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Seven-Per-Cent Solution, The (1976)', 'The Great Train Robbery (1978)', 'Aelita: The Queen of Mars (Aelita) (1924)']",46,0.7081208513708515,"['Osmosis Jones (2001)', 'Host, The (Gwoemul) (2006)', 'Getaway, The (1994)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Hunting Party, The (2007)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Dragonheart 2: A New Beginning (2000)', 'Dead or Alive: Final (2002)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Seven-Per-Cent Solution, The (1976)', 'The Great Train Robbery (1978)', 'Aelita: The Queen of Mars (Aelita) (1924)']"
"['Ghost (1990)', 'Out of Sight (1998)', 'Click (2006)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Beat the Devil (1953)', 'Confessions of a Dangerous Mind (2002)', 'Feast (2014)', 'Ernest & Célestine (Ernest et Célestine) (2012)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Love Exposure (Ai No Mukidashi) (2008)', 'Sisterhood of the Traveling Pants 2, The (2008)']",140,0.1617804520798218,"['Ghost (1990)', 'Out of Sight (1998)', 'Click (2006)', 'Nurse Betty (2000)', 'Osmosis Jones (2001)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Beat the Devil (1953)', 'Confessions of a Dangerous Mind (2002)', 'Feast (2014)', 'Ernest & Célestine (Ernest et Célestine) (2012)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Love Exposure (Ai No Mukidashi) (2008)', 'Sisterhood of the Traveling Pants 2, The (2008)']"
"['City of God (Cidade de Deus) (2002)', 'Blood Diamond (2006)', 'Jurassic World (2015)', 'Jumper (2008)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Jurassic World: Fallen Kingdom (2018)', 'Sound of Thunder, A (2005)', 'Dragonheart 2: A New Beginning (2000)', 'Chase, The (1994)', 'Northwest Passage (1940)', 'Aelita: The Queen of Mars (Aelita) (1924)', ""King Solomon's Mines (1937)""]",64,0.246288004981444,"['City of God (Cidade de Deus) (2002)', 'Blood Diamond (2006)', 'Jurassic World (2015)', 'Jumper (2008)', 'Osmosis Jones (2001)', 'Getaway, The (1994)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Jurassic World: Fallen Kingdom (2018)', 'Sound of Thunder, A (2005)', 'Dragonheart 2: A New Beginning (2000)', 'Chase, The (1994)', 'Northwest Passage (1940)', 'Aelita: The Queen of Mars (Aelita) (1924)', ""King Solomon's Mines (1937)""]"
"['Ghost (1990)', 'Bruce Almighty (2003)', 'Stranger than Fiction (2006)', 'Out of Sight (1998)', 'Click (2006)', 'Nurse Betty (2000)', 'Purple Rose of Cairo, The (1985)', 'Science of Sleep, The (La science des rêves) (2006)', 'Osmosis Jones (2001)', 'Arizona Dream (1993)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Confessions of a Dangerous Mind (2002)', 'PK (2014)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)']",32,0.5298752834467121,"['Ghost (1990)', 'Bruce Almighty (2003)', 'Stranger than Fiction (2006)', 'Out of Sight (1998)', 'Click (2006)', 'Nurse Betty (2000)', 'Purple Rose of Cairo, The (1985)', 'Science of Sleep, The (La science des rêves) (2006)', 'Osmosis Jones (2001)', 'Arizona Dream (1993)', 'Casanova (2005)', 'Stunt Man, The (1980)', 'Confessions of a Dangerous Mind (2002)', 'PK (2014)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)']"
"['Bad Boys (1995)', 'Last Boy Scout, The (1991)', 'Osmosis Jones (2001)', 'Metro (1997)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Another 48 Hrs. (1990)', 'Wasabi (2001)', 'Hunting Party, The (2007)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Dragonheart 2: A New Beginning (2000)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Aelita: The Queen of Mars (Aelita) (1924)', ""Pusher III: I'm the Angel of Death (2005)""]",31,0.5197222222222222,"['Bad Boys (1995)', 'Last Boy Scout, The (1991)', 'Osmosis Jones (2001)', 'Metro (1997)', 'Ichi the Killer (Koroshiya 1) (2001)', 'Another 48 Hrs. (1990)', 'Wasabi (2001)', 'Hunting Party, The (2007)', 'Stunt Man, The (1980)', 'Rubber (2010)', 'Interstate 60 (2002)', 'Dragonheart 2: A New Beginning (2000)', 'White Sun of the Desert, The (Beloe solntse pustyni) (1970)', 'Aelita: The Queen of Mars (Aelita) (1924)', ""Pusher III: I'm the Angel of Death (2005)""]"
